rank,graph_id,vertices,faces,triangles,min_x,min_y,min_z,max_x,max_y,max_z,material_face_counts
0,3,8969,10815,18920,-0.434814453125,-0.4484863305901686,-0.4997558686060427,0.278076171875,0.40698242056237777,0.4299316432395728,"{""0"": 10815}"
1,30,4192,4413,7985,-0.107177734375,-0.43774414740154577,-0.49829101085473865,0.370849609375,0.4118652322513266,0.3474121114132996,"{""0"": 4413}"
2,18,890,914,1678,-0.221923828125,0.07836915111530632,-0.21899415664326022,0.301025390625,0.41137695053177065,0.4284667889245644,"{""0"": 914}"
3,68,696,769,1411,0.282958984375,-0.2316894567000281,-0.19750976064130413,0.463623046875,0.08374024130094995,0.2580566427913603,"{""0"": 769}"
4,65,702,717,1307,0.254638671875,-0.26879882777283304,-0.24975585372965714,0.440673828125,0.08374024334992128,0.42749023560224847,"{""0"": 717}"
5,0,487,505,964,-0.481689453125,-0.10961914859677907,-0.1823730420833952,0.022216796875,0.19165039838334455,0.35766601194325465,"{""0"": 505}"
6,17,374,390,741,-0.235595703125,-0.3557129040393591,-0.3420410059030579,-0.052978515625,-0.005615221942439611,0.29174804912673413,"{""0"": 390}"
7,74,318,329,623,0.346923828125,-0.24829101601985384,-0.13842772625381677,0.464599609375,0.03295899738383357,0.2980957020471557,"{""0"": 329}"
8,9,260,270,516,-0.339599609375,0.08081056056682402,-0.1540527436914165,0.121337890625,0.3010253957367566,0.4064941351290613,"{""0"": 270}"
9,4,234,253,463,-0.373291015625,-0.2683105396715852,0.12231446350858906,0.156005859375,0.12280275086281614,0.43823242075446883,"{""0"": 253}"
10,71,239,244,472,0.310302734375,-0.10424805382229341,-0.15893554231817314,0.478271484375,0.08666993187440694,0.3254394512147611,"{""0"": 244}"
11,36,228,238,454,-0.049072265625,0.08032227814293419,-0.3063964902337774,0.186767578125,0.30297851680956156,0.31225585368697023,"{""0"": 238}"
12,12,227,231,448,-0.292724609375,-0.04272460910820686,-0.3864746082117819,-0.112548828125,0.07739257982180438,0.25317382668431704,"{""0"": 231}"
13,14,225,230,444,-0.280517578125,-0.05395507962971332,-0.3376464859224002,-0.050048828125,0.08764648698957278,0.2712402323793873,"{""0"": 230}"
14,7,214,226,423,-0.346923828125,-0.1770019495926588,-0.09692382405907253,-0.005126953125,0.052490248173541275,0.3439941408704497,"{""0"": 226}"
15,54,204,222,400,0.130126953125,-0.3137207092398988,-0.33764647354319843,0.248779296875,-0.21459960573594156,0.08471680634082066,"{""0"": 222}"
16,16,210,214,415,-0.254150390625,-0.23315430068480605,-0.3322753865590725,-0.110107421875,-0.002197258827110757,0.16186523679748172,"{""0"": 214}"
17,27,209,213,414,-0.136962890625,-0.2106933428231535,0.3156738240377291,0.183837890625,0.11157228245431136,0.499755860580905,"{""0"": 213}"
18,62,204,207,402,0.243408203125,0.08032227259363685,-0.18286133571259694,0.373779296875,0.2155761721204497,0.2165527292632434,"{""0"": 207}"
19,1,192,202,380,-0.451904296875,-0.12866209873528953,0.09008789268464305,0.084716796875,0.08227540491444066,0.4382324212453682,"{""0"": 202}"
20,6,197,200,390,-0.347900390625,-0.2092285191146543,-0.3229980413577178,-0.176513671875,-0.0114746024703935,0.16284179893464304,"{""0"": 200}"
21,13,197,200,388,-0.291259765625,0.05981446005094995,-0.3229980554870826,-0.175048828125,0.2565917917632434,0.16284179319325465,"{""0"": 200}"
22,35,193,195,378,-0.054443359375,-0.30737304857180436,-0.3947753862175773,0.083251953125,-0.10083009538118039,-0.03735350259482297,"{""0"": 195}"
23,55,189,194,374,0.137939453125,0.21020508806037658,-0.2951660264354581,0.215087890625,0.27709960603474987,0.2282714750585835,"{""0"": 194}"
24,56,190,194,375,0.164306640625,0.08569336809379986,-0.06372072202462614,0.374755859375,0.4323730440896796,0.2951660095527881,"{""0"": 194}"
25,23,274,191,349,-0.160400390625,0.1472168111430972,-0.08715822168313092,0.344482421875,0.4343261694098314,0.3278808526411411,"{""0"": 191}"
26,33,160,188,314,-0.089599609375,-0.18676756246957846,0.35815430503887014,0.082763671875,0.059814471149544635,0.44653320371194494,"{""0"": 188}"
27,41,155,184,302,0.006591796875,0.24145508852993253,-0.10424806564656543,0.318603515625,0.44848632642819564,0.23999022377797644,"{""0"": 184}"
28,52,163,183,318,0.092529296875,-0.3557129010299325,-0.28637693800316477,0.287353515625,-0.18823241699802137,0.1159668052736481,"{""0"": 183}"
29,61,176,181,347,0.206298828125,0.08178711679184933,-0.21215820983751543,0.343994140625,0.2722167978674705,0.22241210338816192,"{""0"": 181}"
30,10,172,175,340,-0.333740234375,0.0671386869754918,0.23168944511053402,0.035400390625,0.18334961950246764,0.40063476115354696,"{""0"": 175}"
31,31,159,171,307,-0.095947265625,0.2585449082258629,-0.31225587067635746,-0.044677734375,0.30981445315701517,0.05981443983870156,"{""0"": 171}"
32,49,168,171,331,0.085205078125,-0.2604980498737549,-0.4519042879427656,0.182861328125,-0.18432618782922985,0.1354980564902248,"{""0"": 171}"
33,51,164,164,324,0.088623046875,-0.24877929936151208,-0.3615722550920068,0.123291015625,-0.22387696382874084,-0.016357411299319877,"{""0"": 164}"
34,67,212,157,306,0.279052734375,-0.26977538107380555,0.21850587116725684,0.357177734375,0.08081055909412588,0.43286132894672286,"{""0"": 157}"
35,32,118,154,232,-0.090576171875,-0.12475584192672855,0.3991699273282518,0.054443359375,0.04907228373491844,0.4348144549285216,"{""0"": 154}"
36,78,158,154,304,0.401611328125,-0.19409180213616076,-0.1203613196409781,0.436767578125,-0.015869133186807216,0.17065429769672288,"{""0"": 154}"
37,44,125,146,245,0.060791015625,0.2873535052627544,-0.2370605594356211,0.149658203125,0.3239746044126476,-0.00610352871920738,"{""0"": 146}"
38,50,135,145,266,0.087158203125,-0.42114258601140525,-0.18041990346627323,0.255615234375,-0.20678710565056774,0.08862305604201234,"{""0"": 145}"
39,53,142,144,280,0.114013671875,-0.30639648955078697,-0.31567381678095563,0.169189453125,-0.25952149817354125,-0.0056152219210961595,"{""0"": 144}"
