rank,island_id,faces,summed_uv_area,min_u,min_v,max_u,max_v
0,1468,310,0.006251771504815115,0.05591798573732376,0.001537138014100492,0.2069379985332489,0.04637892171740532
1,1176,284,0.0013495680792443565,0.410808801651001,0.5209138989448547,0.43779879808425903,0.5989691615104675
2,116,228,0.0013056608711612405,0.14398720860481262,0.42331063747406006,0.1713802069425583,0.5159392952919006
3,368,177,0.0008160888831318935,0.6800009608268738,0.1750165969133377,0.7406148910522461,0.20179596543312073
4,115,171,0.0010546826287642919,0.17661041021347046,0.31124377250671387,0.20079673826694489,0.4165201187133789
5,1287,163,0.000623135889439963,0.6800009608268738,0.11282526701688766,0.7409507036209106,0.13862133026123047
6,568,132,0.0029074562995798914,0.44087305665016174,0.5209138989448547,0.49730679392814636,0.5974484086036682
7,1173,127,0.00065008678425027,0.09611723572015762,0.5209138989448547,0.11101100593805313,0.6044451594352722
8,710,102,0.00031001046098966256,0.06654445827007294,0.7438515424728394,0.07902668416500092,0.7944748401641846
9,1670,101,0.002253386471573915,0.07960077375173569,0.6080798506736755,0.11102695763111115,0.6788997650146484
10,114,86,0.0004937712195731692,0.5274102687835693,0.39257487654685974,0.601063072681427,0.40528589487075806
11,383,82,0.0007083360460899968,0.49462705850601196,0.7438515424728394,0.5174666047096252,0.7906205058097839
12,1145,81,0.00047495347220616324,0.2100123167037964,0.2863216698169708,0.31951606273651123,0.2980680465698242
13,24,79,0.0018070902808939027,0.05591800436377525,0.04945320636034012,0.1992473602294922,0.08631303161382675
14,25,77,0.0018894620347593982,0.055917996913194656,0.08938729763031006,0.1964133381843567,0.12869462370872498
15,205,77,0.000246953253296045,0.15601074695587158,0.6080797910690308,0.1626223474740982,0.6796798706054688
16,98,71,0.000173602991218047,0.5187796354293823,0.5209138989448547,0.522267758846283,0.5986995100975037
17,134,71,0.0015801497024370281,0.039730727672576904,0.17721430957317352,0.06944219022989273,0.30187347531318665
18,202,67,0.00022551571568030226,0.5274102091789246,0.5375429391860962,0.6005408763885498,0.5443921685218811
19,2346,67,9.056511253557886e-05,0.23095032572746277,0.52091383934021,0.24204833805561066,0.6019355654716492
20,249,66,0.0020608920325154573,0.0015371397603303194,0.0015371411573141813,0.05284370854496956,0.1741400510072708
21,1685,66,0.001124110912639878,0.02244623936712742,0.17721432447433472,0.036656446754932404,0.30280810594558716
22,1288,64,0.00021760789287128546,0.6000124216079712,0.8364201188087463,0.6130270957946777,0.8646407127380371
23,78,63,0.00016979596439359312,0.3190155625343323,0.31124377250671387,0.3224542438983917,0.3903253972530365
24,512,63,0.0009393236103305558,0.13318650424480438,0.17721432447433472,0.14791658520698547,0.2974799871444702
25,746,63,0.0009796114297446201,0.2100123018026352,0.08877799659967422,0.32321324944496155,0.09959016740322113
26,1641,63,0.0016943916382660684,0.07251644134521484,0.17721432447433472,0.09661270678043365,0.3018876314163208
27,94,62,6.600854112370769e-05,0.6089468598365784,0.4317108690738678,0.6733471751213074,0.43830570578575134
28,1144,61,0.00033374461525736976,0.210012286901474,0.13016767799854279,0.3218815326690674,0.14142288267612457
29,642,60,0.0014607584004660001,0.231306254863739,0.42331063747406006,0.2687565088272095,0.5146838426589966
30,136,59,0.00037685898765627,0.5274102091789246,0.3355471193790436,0.6015602350234985,0.3513326048851013
31,745,59,0.0005295768997372607,0.6800009608268738,0.012667088769376278,0.7423074245452881,0.02352721244096756
32,118,57,0.0016487744034314744,0.4338114559650421,0.1867629885673523,0.5219324827194214,0.21469521522521973
33,497,57,0.00039207252256012737,0.743227481842041,0.798340380191803,0.7618102431297302,0.8290438652038574
34,799,57,0.0006021990297984114,0.210012286901474,0.24258525669574738,0.3207293450832367,0.26196107268333435
35,146,56,1.398505821903484e-05,0.2579445242881775,0.8364201188087463,0.2602108120918274,0.8663654327392578
36,1178,56,3.969426224870176e-05,0.7349434494972229,0.7438516020774841,0.7392567992210388,0.7892204523086548
37,1467,56,0.001303480610134189,0.055917978286743164,0.1564517617225647,0.18538063764572144,0.1728372871875763
38,290,55,0.0012637502897350217,0.6800009608268738,0.4167933166027069,0.7374585866928101,0.44841721653938293
39,1028,55,0.00116991032686814,0.05591800436377525,0.13176892697811127,0.18992893397808075,0.1533774733543396
40,1192,55,6.220460359607216e-05,0.5655488967895508,0.6837517619132996,0.569564700126648,0.7368389368057251
41,1219,54,3.3431939222339224e-05,0.6089468598365784,0.5129312872886658,0.6723963618278503,0.5173129439353943
42,1387,54,0.00032179418595168485,0.1132105365395546,0.798340380191803,0.12873512506484985,0.8323940634727478
43,2300,54,7.24381986652034e-05,0.4760463237762451,0.6080798506736755,0.486773818731308,0.6771185398101807
44,54,53,4.189244091934441e-05,0.20252634584903717,0.6837517619132996,0.20776671171188354,0.7398887276649475
45,1459,53,0.0009416976164660085,0.14792630076408386,0.3112437427043915,0.17353612184524536,0.4164874255657196
46,2022,53,0.0008183362304912123,0.19206365942955017,0.52091383934021,0.20904800295829773,0.6032461524009705
47,420,52,5.297825232108977e-05,0.6800009608268738,0.40500226616859436,0.7392104864120483,0.41371914744377136
48,1455,52,0.0009415657118035936,0.2100123018026352,0.2201649248600006,0.320779949426651,0.23951098322868347
49,182,51,7.448286498279444e-05,0.6800009608268738,0.21430975198745728,0.7413820028305054,0.2207007259130478
50,1136,51,0.0010211803161763629,0.0015371403424069285,0.3112437427043915,0.040038228034973145,0.4200536906719208
51,2345,51,8.648208621853115e-05,0.27331823110580444,0.52091383934021,0.2833116054534912,0.6007803678512573
