rank,graph_id,vertices,faces,triangles,min_x,min_y,min_z,max_x,max_y,max_z,material_face_counts
0,0,7785,8120,15441,-0.368896484375,-0.329833982507448,-0.49975585942835865,0.368896484375,0.3298339867121079,0.49975585934298483,"{""0"": 8120}"
1,43,597,622,1169,0.134521484375,0.0593261755780888,0.026611322991899958,0.250244140625,0.17553711309943226,0.14331054174189997,"{""0"": 622}"
2,28,305,323,606,0.134521484375,-0.17504882431519395,0.030029301986756587,0.249267578125,-0.05883788679385049,0.1452636769867566,"{""0"": 323}"
3,29,291,298,560,0.135498046875,-0.17407226181519395,0.030517583236756587,0.243896484375,-0.05932616804385049,0.1447753957367566,"{""0"": 298}"
4,1,212,264,394,0.097900390625,-0.09838867615436199,-0.15698242064775156,0.283935546875,0.09887694884563801,-0.06567382574520518,"{""0"": 264}"
5,2,50,28,49,0.236572265625,-0.2033691360895166,0.08715821071259694,0.281494140625,-0.15063476155907252,0.11499024200528385,"{""0"": 28}"
6,53,50,27,49,0.236572265625,0.15063476969092748,0.08715819553740306,0.281494140625,0.2033691451604834,0.11499022674471615,"{""0"": 27}"
7,30,47,26,52,0.221923828125,-0.16528319931519395,0.03930664573675659,0.233154296875,-0.06811523054385049,0.1354980519867566,"{""0"": 26}"
8,54,45,24,48,0.221923828125,0.0686035193707757,0.03784179174189996,0.233154296875,0.16577148809943226,0.13354491674189997,"{""0"": 24}"
9,31,28,20,38,0.226806640625,-0.0793457002116189,0.0656738311664418,0.234130859375,-0.06469726260490163,0.08081055008718942,"{""0"": 20}"
10,42,34,20,31,0.259521484375,0.11303711352630127,0.09301757316264757,0.296142578125,0.1345214891666048,0.11450194779980889,"{""0"": 20}"
11,55,28,20,38,0.226806640625,0.06469726855972456,0.06567382501952783,0.234130859375,0.0793457060383811,0.08081054366281058,"{""0"": 20}"
12,13,33,19,30,0.259521484375,-0.1345214795833952,0.09301758308735243,0.296142578125,-0.11303710522369873,0.11450195845019111,"{""0"": 19}"
13,26,31,18,33,0.212158203125,-0.2438964798395166,0.07934571145961773,0.242919921875,-0.1721191368365374,0.10473633763350756,"{""0"": 18}"
14,58,31,18,33,0.212158203125,0.1721191444134626,0.07934569476903881,0.242919921875,0.2438964889104834,0.10473631861649244,"{""0"": 18}"
15,20,27,15,28,0.249755859375,-0.09155273043713323,0.0866699254073412,0.286376953125,-0.08032226166578978,0.09594726947749296,"{""0"": 15}"
16,36,27,15,28,0.249755859375,0.08032226947749296,0.08666991832131536,0.286376953125,0.09155273831286677,0.09594726177250704,"{""0"": 15}"
17,22,28,12,24,0.242431640625,-0.07592773069325465,0.07739258101703765,0.268310546875,-0.06616210597071952,0.08422851894390668,"{""0"": 12}"
18,38,28,12,24,0.242431640625,0.06616211275793703,0.07739257512624509,0.268310546875,0.07592773805674535,0.08422851230609332,"{""0"": 12}"
19,9,24,11,22,0.253662109375,-0.16430663549189997,0.09204102216676782,0.287353515625,-0.14282226149504218,0.11743164780707137,"{""0"": 11}"
20,52,24,11,22,0.253662109375,0.14282226975495782,0.09204100908323218,0.287353515625,0.16430664575810003,0.11743163346427209,"{""0"": 11}"
21,4,23,10,20,0.238037109375,-0.165771482507448,0.040283210264384466,0.260009765625,-0.15161132548908376,0.06127930371557615,"{""0"": 10}"
22,18,23,10,20,0.255615234375,-0.10131835537310288,0.09008789486167508,0.293212890625,-0.09301757380295111,0.09887695753242269,"{""0"": 10}"
23,37,23,10,20,0.255615234375,0.09301758208421022,0.09008788638832492,0.293212890625,0.10131836337689712,0.09887694905907253,"{""0"": 10}"
24,47,23,10,20,0.238037109375,0.15161133076091624,0.040283195985615534,0.260009765625,0.165771486242552,0.06127929003442385,"{""0"": 10}"
25,49,16,8,14,0.258544921875,0.12963867604764473,0.09350585332413155,0.302001953125,0.14379883327944348,0.11791991561069703,"{""0"": 8}"
26,10,14,6,12,0.258544921875,-0.14379882297055652,0.09301758383437322,0.302001953125,-0.12963866770235527,0.1179199281606464,"{""0"": 6}"
27,11,14,6,12,0.256591796875,-0.15405272945533446,0.0930175844106464,0.291259765625,-0.13598632397369873,0.11254883485885889,"{""0"": 6}"
28,19,14,6,12,0.257080078125,-0.10278319908041597,0.09155273871839234,0.287841796875,-0.09790038606817314,0.10424805117570544,"{""0"": 6}"
29,40,14,6,12,0.257080078125,0.09790039518182686,0.0915527300102642,0.288330078125,0.10278320723361438,0.10424804259563801,"{""0"": 6}"
30,51,14,6,12,0.256591796875,0.13647461352630127,0.09301757171129288,0.291259765625,0.15405273929466554,0.11254882141248457,"{""0"": 6}"
31,3,12,5,10,0.234130859375,-0.1804199201781956,0.03881836724006181,0.250732421875,-0.15991210665370995,0.06323242897169756,"{""0"": 5}"
32,5,12,5,10,0.241943359375,-0.1530761698367004,0.04663086604482854,0.255126953125,-0.14624023173908376,0.06030274085273747,"{""0"": 5}"
33,6,12,5,10,0.244384765625,-0.14672851371476112,0.043701178267363666,0.262939453125,-0.13842773176042722,0.059814459282585705,"{""0"": 5}"
34,7,12,5,10,0.247802734375,-0.1286621074220742,0.04467773997765597,0.266357421875,-0.12231445048908376,0.06030273982825181,"{""0"": 5}"
35,8,11,5,9,0.246337890625,-0.13549804496476112,0.04370117779780774,0.261474609375,-0.12963866923908376,0.06030274012706013,"{""0"": 5}"
36,14,11,5,9,0.248779296875,-0.11694335731535695,0.04711914573675659,0.265869140625,-0.11303710671774031,0.06079102067272624,"{""0"": 5}"
37,15,11,5,9,0.248291015625,-0.10571288792505341,0.05346680134645305,0.261474609375,-0.10229491953789208,0.062255863910483406,"{""0"": 5}"
38,16,12,5,10,0.246826171875,-0.09790038786102305,0.05639648848361438,0.256591796875,-0.09350585688848792,0.06323242615436199,"{""0"": 5}"
39,17,12,5,10,0.258544921875,-0.11352538589742553,0.09204102018182686,0.297607421875,-0.10375976151638562,0.10815430183735243,"{""0"": 5}"
40,23,11,5,9,0.228271484375,-0.19750976365073075,0.04516602425842606,0.239990234375,-0.1667480440469927,0.06616211679184933,"{""0"": 5}"
41,24,11,5,9,0.218017578125,-0.199951169345801,0.05786133686514331,0.224365234375,-0.1770019499981844,0.07299805467603146,"{""0"": 5}"
42,25,12,5,10,0.223388671875,-0.190673825595801,0.05786133645961774,0.228759765625,-0.1730957001262451,0.0695800857339404,"{""0"": 5}"
43,27,11,5,9,0.213134765625,-0.197509762668932,0.06762696175842606,0.216552734375,-0.18041991859878023,0.0764160235327487,"{""0"": 5}"
44,32,12,5,10,0.246826171875,0.09350586186151208,0.05639648026638562,0.256591796875,0.09790039338897695,0.06323241768101182,"{""0"": 5}"
45,33,12,5,10,0.248291015625,0.10229492421210792,0.0534667923822035,0.261474609375,0.10571289332494659,0.062255854839516594,"{""0"": 5}"
46,34,12,5,10,0.248779296875,0.11303711203225969,0.04711913549189996,0.265869140625,0.11743164287673412,0.06079101068399102,"{""0"": 5}"
47,35,11,5,9,0.247802734375,0.12231445576091624,0.04467772875100058,0.266357421875,0.1286621113279258,0.060302729028465445,"{""0"": 5}"
48,41,12,5,10,0.258544921875,0.10375976973361438,0.09204101098279933,0.297607421875,0.11352539535257447,0.10815429193399102,"{""0"": 5}"
49,44,11,5,9,0.246337890625,0.12963867451091624,0.04370116595219226,0.261474609375,0.1354980489986734,0.06030272870831368,"{""0"": 5}"
50,45,12,5,10,0.244384765625,0.13842773698957278,0.04370116546129288,0.262939453125,0.14672851753523888,0.059814447074131555,"{""0"": 5}"
51,46,12,5,10,0.241943359375,0.14624023701091624,0.046630852683828015,0.255126953125,0.1530761739132996,0.060302727982636334,"{""0"": 5}"
52,48,12,5,10,0.234130859375,0.15991211209629005,0.03881835148859474,0.250732421875,0.1804199235718044,0.06323241475695898,"{""0"": 5}"
53,56,12,5,10,0.228271484375,0.1667480497030073,0.045166006970230495,0.239990234375,0.19799804884926925,0.06616210195815067,"{""0"": 5}"
54,57,12,5,10,0.223388671875,0.1730957061237549,0.05786131979038226,0.228759765625,0.190673830654199,0.06958007049471615,"{""0"": 5}"
55,59,11,5,9,0.218017578125,0.1770019562518156,0.05786131938485669,0.224365234375,0.199951174404199,0.07299803907396854,"{""0"": 5}"
56,60,12,5,10,0.213134765625,0.18041992515121977,0.06762694447023049,0.216552734375,0.197998049831068,0.0764160077172513,"{""0"": 5}"
57,12,8,4,6,0.265869140625,-0.14477538574802137,0.09350586542586845,0.294189453125,-0.13842773024504218,0.11157227195333332,"{""0"": 4}"
