rank,island_id,faces,summed_uv_area,min_u,min_v,max_u,max_v
0,46,638,0.06939673421569115,0.4548242390155792,0.27138134837150574,0.7258884310722351,0.7254928946495056
1,163,544,0.03495446067945396,0.3348918557167053,0.06600537896156311,0.7260304093360901,0.2311963587999344
2,211,501,0.0553401864565326,0.13228128850460052,0.1343640238046646,0.3833654820919037,0.5340283513069153
3,212,303,0.03311344283933204,0.3151527941226959,0.3123202919960022,0.4984268546104431,0.7259045243263245
4,89,208,0.018345217282280224,0.7212365865707397,0.22621718049049377,0.8842830657958984,0.39887383580207825
5,162,186,0.028946541849684024,0.000787304132245481,0.0007872529095038772,0.1795516163110733,0.23007425665855408
6,266,172,0.026945079984392883,0.35589829087257385,0.7128334045410156,0.5570712685585022,0.8788744807243347
7,486,171,0.02749029209437004,0.02018902078270912,0.7010709047317505,0.22580315172672272,0.8829309344291687
8,44,169,0.011762028653891976,0.21158626675605774,0.3897509276866913,0.29962873458862305,0.7262008190155029
9,140,165,0.01679288584202876,0.7086211442947388,0.4297522306442261,0.8356069326400757,0.6084516048431396
10,544,164,0.027284510672812345,0.6532019972801208,0.6239467263221741,0.834254801273346,0.8369589447975159
11,88,156,0.005112588773160287,0.30626267194747925,0.02103915810585022,0.44890210032463074,0.08383110165596008
12,131,153,0.02562471265625249,0.0151467714458704,0.5038560032844543,0.17171339690685272,0.7262164354324341
13,256,142,0.016528001945306126,0.712805449962616,0.052713241428136826,0.8274942636489868,0.23121163249015808
14,1,138,0.00848174312763339,0.27379781007766724,0.4824294149875641,0.37453579902648926,0.6436066031455994
15,537,135,0.022829132704272226,0.5551193952560425,0.8168232440948486,0.7247334718704224,0.9681140184402466
16,0,131,0.012439409034832424,0.15544097125530243,0.0018942104652523994,0.34343716502189636,0.12980303168296814
17,222,117,0.0008835512645060106,0.3065662384033203,0.9512632489204407,0.3420850336551666,0.9883959889411926
18,45,115,0.012325269157969831,0.23258231580257416,0.7218084335327148,0.3529019355773926,0.8707618713378906
19,115,114,0.0008857845383811735,0.7330664396286011,0.9534122347831726,0.7693532705307007,0.9897480607032776
20,241,112,0.0009404417190612691,0.14577844738960266,0.9550021290779114,0.18118338286876678,0.9911000728607178
21,442,112,0.0009401070266163991,0.14394694566726685,0.672576367855072,0.17983129620552063,0.7085081338882446
22,214,104,0.0031075270205289662,0.40575915575027466,0.24515089392662048,0.5192120671272278,0.3190990686416626
23,141,103,0.011917479264952527,0.013863258995115757,0.22244301438331604,0.1095213070511818,0.40563443303108215
24,255,93,0.0128605136146418,0.63681960105896,0.23348096013069153,0.725842297077179,0.459656685590744
25,215,84,0.003095829294082692,0.0011825888650491834,0.39479613304138184,0.12709879875183105,0.4516063630580902
26,188,76,0.011488989550729245,0.8017070889472961,0.001638737041503191,0.9410718679428101,0.13385935127735138
27,257,73,0.002645901602562617,0.3687928318977356,0.20170176029205322,0.42456403374671936,0.32180336117744446
28,282,65,0.0022599308603217516,0.0012455042451620102,0.8142768144607544,0.05814093351364136,0.9005084037780762
29,100,63,0.0008723834731717561,0.12182740867137909,0.29269281029701233,0.1500847190618515,0.3840005695819855
30,37,62,0.0021999707934501345,0.8294529914855957,0.13589294254779816,0.8707618713378906,0.22985947132110596
31,302,54,0.003289018257412124,0.8343711495399475,0.6509778499603271,0.8896914720535278,0.7423110008239746
32,490,47,0.0015584790778488955,0.17487281560897827,0.4609103202819824,0.232563778758049,0.5732966065406799
33,21,44,0.0016048507750179297,0.3848825693130493,0.8750610947608948,0.42456403374671936,0.9248464703559875
34,36,43,0.000674994365940762,0.8890904784202576,0.8640451431274414,0.9194380640983582,0.9194380640983582
35,690,43,0.0009561570314247092,0.9458839297294617,0.564537525177002,0.9802830815315247,0.6030431985855103
36,35,40,0.0007888816445520419,0.485160231590271,0.8734110593795776,0.5124514698982239,0.9221421480178833
37,77,40,0.0010807889222550493,0.40368661284446716,0.47965019941329956,0.42997246980667114,0.57059246301651
38,465,40,0.0008208402719223074,0.9129036068916321,0.9559852480888367,0.9478324055671692,0.9911000728607178
39,615,36,0.0004469454370465975,0.21751458942890167,0.7278417348861694,0.23256373405456543,0.7815223932266235
40,159,35,0.0013276556449532961,0.3483855426311493,0.8590278029441833,0.3826484978199005,0.9194380640983582
41,602,35,0.0008558152505848682,0.3694463074207306,0.5043663382530212,0.4042823016643524,0.5922262668609619
42,4,34,0.001541668568211918,0.8533982634544373,0.5836722254753113,0.9059168100357056,0.6490150094032288
43,173,34,0.0007377259988268214,0.5582703351974487,0.14748583734035492,0.5841135382652283,0.20957784354686737
44,47,33,0.0046334435908474275,0.0009452147642150521,0.4511216878890991,0.11898607015609741,0.5056909322738647
45,28,32,0.0007592295939549132,0.9244807958602905,0.8673734664916992,0.9586492776870728,0.9072690010070801
46,170,32,0.0016815237806753203,0.8830735683441162,0.24206016957759857,0.9221422076225281,0.3028737008571625
47,183,32,0.00028747065132872507,0.963732123374939,0.4502629339694977,0.9775789380073547,0.48676133155822754
48,158,31,0.0008604741154440987,0.7247870564460754,0.3815672993659973,0.746367335319519,0.4434936046600342
49,295,31,0.00047216478971501274,0.935870349407196,0.18184727430343628,0.9518887996673584,0.22174681723117828
50,321,31,0.002647664332037891,0.4995361864566803,0.30354705452919006,0.5408459305763245,0.41239500045776367
51,22,30,0.0031699351493540175,0.4143957793712616,0.0011059623211622238,0.532733142375946,0.04597190394997597
52,243,30,0.0018900314100793736,0.9143459796905518,0.9134218692779541,0.9545930027961731,0.9545930027961731
53,284,30,0.0005537038273004669,0.9112475514411926,0.5625637769699097,0.9275506734848022,0.605747401714325
54,300,30,0.0004340109036715667,0.19805747270584106,0.500354528427124,0.2095777690410614,0.5651839375495911
55,499,30,0.0009182477950036017,0.619784414768219,0.33633992075920105,0.6571277976036072,0.42726829648017883
