rank,graph_id,vertices,faces,triangles,min_x,min_y,min_z,max_x,max_y,max_z,material_face_counts
0,635,24140,47608,47608,0.0034997938200831413,-0.10182953625917435,0.00146484375,0.2010803520679474,0.1516723483800888,0.3205718994140625,"{""0"": 47608}"
1,982,15498,30282,30282,0.230438232421875,-0.06957240402698517,0.5066661834716797,0.355072021484375,0.13757328689098358,0.791717529296875,"{""0"": 30282}"
2,224,14724,28922,28922,-0.2368164211511612,-0.02084730938076973,0.779205322265625,-0.03299333527684212,0.2335052490234375,0.9549560546875,"{""0"": 28922}"
3,737,12271,23974,23974,0.09859466552734375,-0.12021632492542267,0.737640380859375,0.2625732421875,0.14041142165660858,0.909454345703125,"{""0"": 23974}"
4,498,10505,20474,20474,-0.08745577186346054,0.002413056790828705,0.75286865234375,0.03751370310783386,0.31591796875,0.941741943359375,"{""0"": 20474}"
5,85,9719,18887,18887,-0.30206298828125,0.0705718845129013,0.5872726440429688,-0.1922454982995987,0.2700195014476776,0.82049560546875,"{""0"": 18887}"
6,452,9562,18732,18732,-0.12267298251390457,-0.32757568359375,0.225311279296875,0.06669622659683228,-0.11752321571111679,0.38616943359375,"{""0"": 18732}"
7,183,9331,18204,18204,-0.250244140625,-0.1184387132525444,0.781158447265625,-0.050811767578125,0.06531523168087006,0.93603515625,"{""0"": 18204}"
8,597,8785,17192,17192,-0.02044481784105301,-0.311553955078125,0.22552490234375,0.18493656814098358,-0.10161589831113815,0.41351318359375,"{""0"": 17192}"
9,463,8460,16462,16462,-0.11401363462209702,-0.08644869178533554,0.0,0.06135179102420807,0.1872711032629013,0.179595947265625,"{""0"": 16462}"
10,562,7746,14983,14983,-0.0411338172852993,-0.37451171875,0.3674468994140625,0.18066410720348358,-0.1943969428539276,0.5427474975585938,"{""0"": 14983}"
11,373,7481,14587,14587,-0.1732330173254013,-0.01343921385705471,0.011749267578125,-0.06328581273555756,0.1654662787914276,0.297607421875,"{""0"": 14587}"
12,476,7265,14097,14097,-0.10105129331350327,-0.1637268215417862,0.156890869140625,0.1472473442554474,-0.02052878402173519,0.3170013427734375,"{""0"": 14097}"
13,669,7212,14017,14017,0.03007315658032894,0.019718201830983162,0.7816162109375,0.2092285007238388,0.2021179497241974,0.93206787109375,"{""0"": 14017}"
14,347,7080,13806,13806,-0.1881866157054901,-0.264129638671875,0.795166015625,0.028308888897299767,-0.159423828125,0.911590576171875,"{""0"": 13806}"
15,403,6966,13417,13417,-0.1595459282398224,0.2220916599035263,0.2786102294921875,0.035968758165836334,0.317779541015625,0.5144939422607422,"{""0"": 13417}"
16,282,6785,13079,13079,-0.2118072211742401,-0.2571106255054474,0.2769317626953125,-0.09346004575490952,-0.0020122788846492767,0.4462089538574219,"{""0"": 13079}"
