time,sourceFrame,jawOpen_A,mouthSeal,mouthSmileL,mouthSmileR,upperLipRaiseL,upperLipRaiseR,mouthLeft,mouthRight,mouthPucker,mouthFunnel,lipPress,browRaiseL,browRaiseR,browFrownL,browFrownR,eyeWideL,eyeWideR,eyeSquintL,eyeSquintR,eyeBlinkL,eyeBlinkR,headYaw,headPitch,headRoll,gazeX,gazeY,gazeConverge,lean,headShiftX,tongueOut,tongueSide,noseWrinkle
0.0,0,0.26,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0,0.25,0,0,0,0,-0.5,0.0,0.0,0.0
0.1,3,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,-0.112,0.0,0.125,-0.017,0.0,0.0,0.0,-0.367,0.0,0.0,0.0
0.2,6,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.075,0.0,0.0,-0.033,0.0,0.0,0.0,-0.233,0.0,0.0,0.0
0.3,9,0.0,1,0.5,0.15,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038,0.0,0.007,-0.05,0.0,0.0,0.0,-0.1,0.0,0.0,0.0
0.4,12,0.0,1,0.5,0.15,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,-0.067,0.0,0.0,0.0,-0.092,0.0,0.0,0.0
0.5,15,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.033,0.0,0.021,-0.083,0.0,0.0,0.0,-0.083,0.0,0.0,0.0
0.6,18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.067,0.036,0.029,-0.1,0.0,0.0,0.0,-0.075,0.0,0.0,0.0
0.7,21,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.072,0.036,-0.15,0.0,0.0,0.0,-0.067,0.0,0.0,0.0
0.8,24,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,-0.08,0.108,0.043,-0.2,0.0,0.0,0.0,-0.058,0.0,0.0,0.0
0.9,27,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.06,0.144,0.05,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0
1.0,30,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.6,0.0,0.55,0.55,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,-0.04,0.18,0.05,0.0,0.125,0.0,0.0,-0.062,0.0,0.0,0.0
1.1,33,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.28,0.0,0.55,0.55,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,-0.02,0.365,0.05,0.0,0.25,0.7,0.0,-0.075,0.0,0.0,0.0
